,text ppl,rating loss,total loss,RMSE↓,MAE↓,B1↑,B4↑,USR↑,USN↑,DIV↓,FCR↑,FMR↑,R1-F↑,R1-R↑,R1-P↑,R2-F↑,R2-R↑,R2-P↑,RL-F↑,RL-R↑,RL-P↑,context ppl
NRT,43.3754,1.02722,4.7971,1.01354,0.7812199999999999,12.26876,0.73674,0.16694,21589.4,1.78506,0.10419999999999999,0.06934,14.057640000000001,13.02226,17.699260000000002,1.47934,1.4372,1.8404,11.0465,11.89612,14.969060000000002,
Att2Seq,39.255919999999996,,,,,11.9721,0.7336600000000001,0.15624,20206.2,1.7340200000000003,0.12486000000000001,0.07202,13.946760000000001,12.8794,17.698140000000002,1.4674399999999999,1.4138,1.8569000000000002,10.97238,11.71408,15.264199999999999,
PETER,35.1082,1.025,,1.01245,0.7843500000000001,10.79775,0.6959500000000001,0.1122,14505.5,1.57965,0.18020000000000003,0.0812,13.76145,12.2026,18.55955,1.4613,1.3462,2.00235,10.67985,11.10275,16.2609,401.01104999999995
PETER+,25.88798,1.02792,,1.01386,0.7861,20.36946,3.3625599999999998,0.27348,35366.8,1.07574,0.349,0.8592600000000001,27.90188,25.892739999999996,35.69936,7.933159999999999,7.3506599999999995,10.7897,21.626759999999997,23.077999999999996,31.19078,403.1798
NRT_P,,,,1.01,0.78,11.66,0.65,0.12,,2.37,0.11,0.07,13.55,12.11,17.69,1.33,1.22,1.76,,,,
Att2Seq_P,,,,,,10.29,0.58,0.13,,2.41,0.12,0.07,13.29,11.28,18.73,1.31,1.14,1.85,,,,
PETER_P,,,,1.01,0.78,10.77,0.73,0.13,,1.54,0.19,0.08,13.77,12.2,18.54,1.49,1.38,2.02,,,,
PETER+_P,,,,,,20.8,3.43,0.34,,1.08,0.38,0.86,27.95,26.12,35.44,7.94,7.44,10.65,,,,
