,FMR↑,FCR↑,DIV↓,USR↑,B1↑,B4↑,R1-P↑,R1-R↑,R1-F↑,R2-P↑,R2-R↑,R2-F↑
Transformer_P, 0.04, 0.00, 10.00, 0.00, 12.79, 0.71, 16.52, 16.38, 15.88, 2.22, 2.63, 2.34
NRT_P, 0.06, 0.09, 4.27, 0.08, 15.05, 0.99, 18.22, 14.39, 15.40, 2.29, 1.98, 2.01
Att2Seq_P, 0.06, 0.15, 4.32, 0.17, 15.27, 1.03, 18.97, 14.72, 15.92, 2.40, 2.03, 2.09
PETER_P, 0.07, 0.13, 2.95, 0.08, 15.96, 1.11*, 19.07, 16.09, 16.48, 2.33, 2.17, 2.09
ACMLM_P, 0.07, 0.41, 0.78, 0.94, 3.45, 0.02, 4.86, 3.82, 3.72, 0.18, 0.20, 0.16
NETE_P, 0.78, 0.27, 2.22, 0.57, 22.39, 3.66, 35.68, 24.86, 27.71, 10.20, 6.98, 7.66
PETER+_P, 0.89, 0.35, 1.61, 0.25, 24.32, 4.55, 37.48, 29.21, 30.49, 11.92, 8.98, 9.24
