,text ppl,rating loss,total loss,RMSE↓,MAE↓,B1↑,B4↑,USR↑,USN↑,DIV↓,FCR↑,FMR↑,R1-F↑,R1-R↑,R1-P↑,R2-F↑,R2-R↑,R2-P↑,RL-F↑,RL-R↑,RL-P↑,context ppl
NRT,47.00962,0.626,4.47634,0.7912199999999999,0.60894,15.537600000000001,1.0299600000000002,0.19066000000000002,6102.2,2.4225399999999997,0.13321999999999998,0.05816,16.01796,15.521440000000002,18.68502,1.9868999999999999,2.0293599999999996,2.23948,12.750019999999997,14.303820000000002,15.59408,
Att2Seq,45.7876,,,,,15.923520000000002,1.01068,0.06384,2042.8,2.8162599999999998,0.09230000000000001,0.057499999999999996,16.050539999999998,15.7272,18.402880000000003,1.98652,2.04248,2.2079,12.79662,14.505500000000001,15.31826,
PETER+,28.703560000000003,0.6545,,0.80902,0.6279199999999999,24.060660000000002,4.5085,0.1958,6266.6,1.6274799999999998,0.3317,0.88712,30.4355,29.0348,37.603860000000005,9.210820000000002,8.8902,11.96198,22.950559999999996,25.202460000000002,31.62968,396.51486000000006
NRT_P,,,,,,15.05, 0.99,0.08,,4.27,0.09,0.06,15.4,14.39,18.22,2.01,1.98,2.29,,,,
Att2Seq_P,,,,,,15.27, 1.03,0.17,,4.32,0.15,0.06,15.92,14.72,18.97,2.09,2.03,2.4,,,,
PETER+_P,,,,,,24.32, 4.55,0.25,,1.61,0.35,0.89,30.49,29.21,37.48,9.24,8.98,11.92,,,,
