,text ppl,rating loss,total loss,RMSE↓,MAE↓,B1↑,B4↑,USR↑,USN↑,DIV↓,FCR↑,FMR↑,R1-F↑,R1-R↑,R1-P↑,R2-F↑,R2-R↑,R2-P↑,RL-F↑,RL-R↑,RL-P↑,context ppl
NRT,63.23178,1.16744,5.313879999999999,1.08016,0.77776,11.28906,0.7682800000000001,0.0164,293.8,0.24824000000000002,0.020139999999999998,0.04208,12.85278,12.328019999999999,15.769839999999999,1.5645,1.57062,1.9284199999999998,10.04588,11.16328,13.70578,
Att2Seq,49.94444,,,,,11.56462,0.78032,0.04004,717.8,0.13965999999999998,0.04888,0.05636,12.984119999999999,12.6405,15.71578,1.5919,1.62656,1.9505,10.122240000000001,11.33496,13.59788,
PETER+,24.8701,1.0990199999999999,,1.04832,0.82908,22.22504,4.25868,0.18596,3332.8,0.04802,0.38158,0.94008,30.79012,29.692539999999997,38.88099999999999,9.22872,8.975460000000002,12.4746,24.002019999999998,26.50648,34.71252,306.75634
