,text ppl,rating loss,total loss,RMSE,MAE,BLEU-1,BLEU-4,USR,USN,DIV,FCR,FMR,R1-F,R1-R,R1-P,R2-F,R2-R,R2-P,RL-F,RL-R,RL-P,context ppl
NRT,47.00962,0.626,4.47634,0.7912199999999999,0.60894,15.537600000000001,1.0299600000000002,0.19066000000000002,6102.2,2.4225399999999997,0.13321999999999998,0.05816,16.01796,15.521440000000002,18.68502,1.9868999999999999,2.0293599999999996,2.23948,12.750019999999997,14.303820000000002,15.59408,
PETER+,28.837325,0.655225,,0.809475,0.6285499999999999,24.1506,4.509550000000001,0.188425,6030.5,1.6384,0.328225,0.887025,30.408974999999998,29.0678,37.48485,9.1689,8.873375000000001,11.882375,22.92525,25.23625,31.49765,397.04460000000006
