,text ppl,rating loss,total loss,RMSE,MAE,BLEU-1,BLEU-4,USR,USN,DIV,FCR,FMR,R1-F,R1-R,R1-P,R2-F,R2-R,R2-P,RL-F,RL-R,RL-P,context ppl
NRT,69.50483333333334,0.9073000000000001,5.148666666666666,0.9525,0.7074999999999999,13.282033333333333,1.0364333333333333,0.19133333333333336,8452.666666666666,2.0859666666666663,0.05786666666666667,0.11563333333333332,15.919199999999998,14.289900000000001,20.845533333333332,2.2166,2.092433333333333,2.8295666666666666,12.107366666666666,12.898366666666666,16.627266666666667,
PETER,44.923125,0.91175,,0.95485,0.71195,19.569875,3.0092,0.4139,18286.5,1.2311,0.281175,0.77285,26.2787,23.83295,34.844425,6.65005,6.148650000000001,8.9772,19.80655,21.1216,28.3844,493.35339999999997
